,Country,City,Time,Info
0,"Finland
","Helsinki
","Apr 26, 16:00
","Info <https://fb.me/e/2mhO67enP>
"
1,"Australia
","Melbourne
","Apr 28, 20:00
","Info <https://www.fojam.com/whatson>
"
2,"Czech Republic
","Nové Strašecí
","Apr 27, 18:30
","Info <https://www.facebook.com/events/706818717331751>
"
3,"Czech Republic
","Opava
","Apr 27, 18:00
","Info <https://www.facebook.com/events/1122081255280758>
"
4,"Czech Republic
","Prague
","Apr 26, 16:00
","Info <https://www.facebook.com/events/529254038810113/>
"
5,"Czech Republic
","Prague
","Apr 27, 18:30
","Info <https://www.facebook.com/events/518734926298912/>
"
6,"Germany
","Konstanz
","Apr 30, 15:30
","Info <https://www.facebook.com/groups/standwithukrainekonstanz>
"
7,"Ireland
","Dublin
","Apr 26, 13:30
","Info <https://fb.me/e/1it7VsCzW>
"
8,"Ireland
","Dublin
","Apr 29, 11:00
","Info <https://www.facebook.com/events/1944869005901636>
"
9,"Ireland
","Dublin
","Apr 30, 10:00
","Info <https://www.facebook.com/groups/GreystonesOpenForum/posts/4938370626198383/>
"
10,"Ireland
","Zoom, Dublin
","Apr 26, 11:00
","Info <https://twitter.com/CityPartnership/status/1514694716373225472?s=20&t=mAw4ra6vOpotE4W3bNk8-g>
"
11,"Ireland
","Zoom, Dublin
","Apr 27, 11:00
","Info <https://twitter.com/CityPartnership/status/1514694716373225472?s=20&t=mAw4ra6vOpotE4W3bNk8-g>
"
12,"Sweden
","Helsingborg
","May 2, 12:00
","Info <https://www.facebook.com/events/536589314592169/536589321258835/>
"
13,"Sweden
","Stockholm
","Apr 27, 12:30
","Info <https://www.facebook.com/events/537989581273274/>
"
14,"Sweden
","Stockholm
","Apr 30, 12:00
","Info <https://www.facebook.com/events/1141557733297601/>
"
15,"Sweden
","Stockholm
","May 2, 12:00
","Info <https://www.facebook.com/events/1393967417689964/1393967457689960/>
"
16,"Switzerland
","Aarau
","May 31, 11:30
","Info <https://fb.me/e/1I8KZiicW>
"
17,"Switzerland
","Aarau
","May 21, 11:30
","Info <https://facebook.com/events/s/orgel-plus-am-mittag-fresken-a/1594154300950440/>
"
18,"Switzerland
","Baar
","Apr 30, 17:00
","Info <https://www.facebook.com/groups/344127394434549/posts/357543033092985/>
"
19,"Switzerland
","Bern
","Apr 27, 19:00
","Info <https://www.facebook.com/events/3157486424540807>
"
20,"Switzerland
","Jona
","May 1, 19:00
","Info <https://www.ref-mtg.ch/wp-content/uploads/2022/03/FRUeHJAHR-2022.flyerBENEFIZKONZERT.pdf>
"
21,"Switzerland
","Lausanne
","Apr 26, 17:30
","Info <https://jean-monnet.ch/en/evenement/invitation-a-la-conference-en-anglais-de-pat-cox-26-04-2022/>
"
22,"United States
","Buffalo
","May 7, 14:00
","Info <https://m.facebook.com/events/5719821088081599?acontext=%7B%22source%22%3A%223%22%2C%22action_history%22%3A%22null%22%7D&aref=3>
"
23,"United States
","New York
","Apr 30, 17:00
","Info <https://www.eventbrite.co.uk/e/enticing-sugary-boundless-or-songs-and-dances-about-death-tickets-315501843507>
"
24,"United States
","New York
","May 28, 19:00
","Info <https://fb.me/e/1Ny0RsZWU>
"
25,"United States
","San Francisco
","May 14, 15:00
",Info <http://grpm.us/gBAfzA>
